experiment,hour,date_of_week,date_of_month,device_make,platform_os,browser
1,9,0,6,71,1,2
1,1,4,3,13,1,1
0,15,4,3,13,1,1
1,8,4,3,59,1,2
0,15,4,3,68,1,4
1,8,4,3,61,1,2
1,4,4,10,91,1,2
1,19,5,4,64,1,7
0,22,3,9,13,1,1
0,15,4,3,20,1,1
1,9,1,7,13,1,1
1,3,0,6,13,1,1
1,0,5,4,45,1,2
1,10,5,4,13,1,1
0,15,4,3,100,1,4
0,15,4,3,70,1,7
0,21,6,5,13,1,1
0,10,4,10,12,1,4
1,9,3,9,13,1,1
1,17,2,8,13,1,1
1,3,6,5,13,1,1
1,14,2,8,13,1,1
1,9,0,6,13,1,1
0,15,4,3,13,1,1
0,5,1,7,13,1,1
1,16,5,4,13,1,1
1,4,4,3,13,1,1
0,8,1,7,78,1,7
1,5,2,8,13,1,1
1,14,6,5,13,1,1
0,8,4,10,63,1,2
1,13,5,4,13,1,1
1,12,3,9,13,1,1
0,15,4,3,64,1,7
1,4,2,8,13,1,1
1,13,3,9,13,1,1
1,8,4,3,13,1,1
1,11,3,9,13,1,1
1,15,3,9,13,1,2
0,3,2,8,50,1,7
0,9,3,9,13,1,1
1,19,2,8,13,1,1
1,11,4,3,13,1,1
1,20,2,8,82,1,7
1,5,2,8,111,0,5
0,15,4,3,13,1,1
1,7,5,4,11,1,2
1,5,4,3,13,1,2
1,12,4,10,13,1,1
1,15,6,5,65,1,2
0,15,4,3,23,1,4
1,2,3,9,65,1,2
0,15,4,3,65,1,4
1,3,5,4,13,1,1
0,14,6,5,22,1,4
0,17,4,10,6,1,4
0,15,4,3,13,1,1
1,16,2,8,13,1,1
1,14,5,4,68,1,2
0,21,3,9,13,1,1
1,3,3,9,13,1,1
0,19,3,9,13,1,1
1,2,5,4,13,1,2
1,15,5,4,13,1,2
0,22,3,9,13,1,2
1,17,2,8,13,1,1
1,21,1,7,13,1,1
1,18,6,5,83,1,7
1,5,2,8,6,1,4
1,17,2,8,20,1,2
0,4,6,5,2,1,1
1,8,4,3,13,1,1
1,2,4,3,41,1,7
0,18,2,8,42,1,7
0,6,4,10,70,1,2
